E/V        I/A.1,E/V        I/A.2
-0.15,7.7499E-07
-0.148,7.80366E-07
-0.146,7.86662E-07
-0.144,7.92191E-07
-0.142,7.97106E-07
-0.14,8.02481E-07
-0.138,8.07856E-07
-0.136,8.12617E-07
-0.134,8.17686E-07
-0.132,8.22907E-07
-0.13,8.27976E-07
-0.128,8.33197E-07
-0.126,8.38573E-07
-0.124,8.43948E-07
-0.122,8.49477E-07
-0.12,8.54699E-07
-0.118,8.5946E-07
-0.116,8.64528E-07
-0.114,8.69135E-07
-0.112,8.73896E-07
-0.11,8.78657E-07
-0.108,8.83418E-07
-0.106,8.87872E-07
-0.104,8.92633E-07
-0.102,8.9724E-07
-0.1,9.01541E-07
-0.098,9.06302E-07
-0.096,9.10909E-07
-0.094,9.15516E-07
-0.092,9.1997E-07
-0.09,9.24578E-07
-0.088,9.29339E-07
-0.086,9.33639E-07
-0.084,9.37939E-07
-0.082,9.42393E-07
-0.08,9.46847E-07
-0.078,9.50993E-07
-0.076,9.55601E-07
-0.074,9.60362E-07
-0.072,9.64816E-07
-0.07,9.69423E-07
-0.068,9.74184E-07
-0.066,9.78484E-07
-0.064,9.83245E-07
-0.062,9.88006E-07
-0.06,9.9246E-07
-0.058,9.97375E-07
-0.056,1.00214E-06
-0.054,1.00659E-06
-0.052,1.01104E-06
-0.05,1.0158E-06
-0.048,1.01995E-06
-0.046,1.02425E-06
-0.044,1.02871E-06
-0.042,1.03301E-06
-0.04,1.03731E-06
-0.038,1.04191E-06
-0.036,1.04606E-06
-0.034,1.05067E-06
-0.032,1.05527E-06
-0.03,1.05942E-06
-0.028,1.06403E-06
-0.026,1.06818E-06
-0.024,1.07248E-06
-0.022,1.07724E-06
-0.02,1.08138E-06
-0.018,1.08553E-06
-0.016,1.09014E-06
-0.014,1.09444E-06
-0.012,1.09843E-06
-0.01,1.10304E-06
-0.008,1.10734E-06
-0.006,1.11179E-06
-0.004,1.1164E-06
-0.002,1.12085E-06
3.11708E-18,1.12531E-06
0.002,1.12991E-06
0.004,1.13421E-06
0.006,1.13882E-06
0.008,1.14358E-06
0.01,1.14788E-06
0.012,1.15264E-06
0.014,1.15725E-06
0.016,1.16155E-06
0.018,1.16616E-06
0.02,1.17061E-06
0.022,1.17476E-06
0.024,1.17921E-06
0.026,1.18351E-06
0.028,1.18781E-06
0.03,1.19258E-06
0.032,1.19718E-06
0.034,1.20148E-06
0.036,1.20578E-06
0.038,1.21024E-06
0.04,1.21423E-06
0.042,1.21853E-06
0.044,1.22268E-06
0.046,1.22682E-06
0.048,1.23097E-06
0.05,1.23527E-06
