E/V        I/A.1,E/V        I/A.2
-0.15,5.07607E-07
-0.148,5.15286E-07
-0.146,5.20968E-07
-0.144,5.25883E-07
-0.142,5.30951E-07
-0.14,5.35098E-07
-0.138,5.39552E-07
-0.136,5.44159E-07
-0.134,5.47998E-07
-0.132,5.52452E-07
-0.13,5.56445E-07
-0.128,5.60592E-07
-0.126,5.64432E-07
-0.124,5.68425E-07
-0.122,5.72418E-07
-0.12,5.76257E-07
-0.118,5.7979E-07
-0.116,5.83783E-07
-0.114,5.87622E-07
-0.112,5.91001E-07
-0.11,5.94841E-07
-0.108,5.9868E-07
-0.106,6.01905E-07
-0.104,6.06052E-07
-0.102,6.09738E-07
-0.1,6.12502E-07
-0.098,6.16649E-07
-0.096,6.20335E-07
-0.094,6.22946E-07
-0.092,6.26939E-07
-0.09,6.30625E-07
-0.088,6.33082E-07
-0.086,6.37382E-07
-0.084,6.40761E-07
-0.082,6.43372E-07
-0.08,6.47672E-07
-0.078,6.51205E-07
-0.076,6.53355E-07
-0.074,6.57962E-07
-0.072,6.61341E-07
-0.07,6.63491E-07
-0.068,6.67945E-07
-0.066,6.71324E-07
-0.064,6.73627E-07
-0.062,6.77774E-07
-0.06,6.81153E-07
-0.058,6.83456E-07
-0.056,6.87757E-07
-0.054,6.90982E-07
-0.052,6.93286E-07
-0.05,6.97432E-07
-0.048,7.00657E-07
-0.046,7.02961E-07
-0.044,7.07108E-07
-0.042,7.10179E-07
-0.04,7.12637E-07
-0.038,7.16783E-07
-0.036,7.19855E-07
-0.034,7.22312E-07
-0.032,7.26305E-07
-0.03,7.29377E-07
-0.028,7.31834E-07
-0.026,7.35674E-07
-0.024,7.38745E-07
-0.022,7.41356E-07
-0.02,7.45042E-07
-0.018,7.48114E-07
-0.016,7.50878E-07
-0.014,7.54564E-07
-0.012,7.57482E-07
-0.01,7.604E-07
-0.008,7.63933E-07
-0.006,7.66851E-07
-0.004,7.69769E-07
-0.002,7.73301E-07
3.11708E-18,7.76065E-07
0.002,7.78983E-07
0.004,7.82209E-07
0.006,7.85127E-07
0.008,7.88198E-07
0.01,7.91577E-07
0.012,7.94188E-07
0.014,7.97413E-07
0.016,8.00792E-07
0.018,8.03403E-07
0.02,8.06474E-07
0.022,8.1016E-07
0.024,8.12771E-07
0.026,8.15689E-07
0.028,8.19221E-07
0.03,8.21832E-07
0.032,8.25057E-07
0.034,8.28743E-07
0.036,8.30894E-07
0.038,8.33965E-07
0.04,8.37958E-07
0.042,8.40262E-07
0.044,8.43487E-07
0.046,8.47327E-07
0.048,8.49477E-07
0.05,8.52548E-07
0.052,8.56541E-07
0.054,8.58692E-07
0.056,8.61763E-07
0.058,8.6591E-07
0.06,8.6806E-07
0.062,8.70978E-07
0.064,8.75432E-07
0.066,8.77275E-07
0.068,8.805E-07
0.07,8.848E-07
0.072,8.86797E-07
0.074,8.90022E-07
0.076,8.94476E-07
0.078,8.96319E-07
0.08,8.9939E-07
0.082,9.04305E-07
0.084,9.05841E-07
0.086,9.09373E-07
0.088,9.13213E-07
0.09,9.15363E-07
0.092,9.18742E-07
0.094,9.23963E-07
0.096,9.25192E-07
0.098,9.28571E-07
0.1,9.33946E-07
0.102,9.34867E-07
0.104,9.384E-07
0.106,9.44082E-07
0.108,9.4485E-07
0.11,9.48229E-07
0.112,9.54219E-07
0.114,9.5514E-07
0.116,9.58365E-07
0.118,9.64201E-07
0.12,9.65276E-07
