E/V        I/A.1,E/V        I/A.2
-0.15,6.01752E-07
-0.148,6.12656E-07
-0.146,6.19106E-07
-0.144,6.25864E-07
-0.142,6.32775E-07
-0.14,6.38918E-07
-0.138,6.44908E-07
-0.136,6.51512E-07
-0.134,6.57041E-07
-0.132,6.62723E-07
-0.13,6.6902E-07
-0.128,6.74242E-07
-0.126,6.79924E-07
-0.124,6.86067E-07
-0.122,6.90982E-07
-0.12,6.96357E-07
-0.118,7.02193E-07
-0.116,7.07108E-07
-0.114,7.12176E-07
-0.112,7.18166E-07
-0.11,7.22619E-07
-0.108,7.27841E-07
-0.106,7.33524E-07
-0.104,7.37824E-07
-0.102,7.42892E-07
-0.1,7.48574E-07
-0.098,7.52721E-07
-0.096,7.57789E-07
-0.094,7.63625E-07
-0.092,7.67465E-07
-0.09,7.72379E-07
-0.088,7.77908E-07
-0.086,7.81748E-07
-0.084,7.86662E-07
-0.082,7.91884E-07
-0.08,7.96184E-07
-0.078,8.01099E-07
-0.076,8.06474E-07
-0.074,8.10467E-07
-0.072,8.15382E-07
-0.07,8.2045E-07
-0.068,8.24597E-07
-0.066,8.29358E-07
-0.064,8.33965E-07
-0.062,8.38419E-07
-0.06,8.43026E-07
-0.058,8.47941E-07
-0.056,8.51934E-07
-0.054,8.56695E-07
-0.052,8.61302E-07
-0.05,8.65603E-07
-0.048,8.69903E-07
-0.046,8.74664E-07
-0.044,8.78964E-07
-0.042,8.83418E-07
-0.04,8.87872E-07
-0.038,8.92326E-07
-0.036,8.96626E-07
-0.034,9.00926E-07
-0.032,9.05534E-07
-0.03,9.09834E-07
-0.028,9.13673E-07
-0.026,9.18895E-07
-0.024,9.23195E-07
-0.022,9.26728E-07
-0.02,9.31949E-07
-0.018,9.3625E-07
-0.016,9.39628E-07
-0.014,9.45004E-07
-0.012,9.49304E-07
-0.01,9.52529E-07
-0.008,9.57905E-07
-0.006,9.62512E-07
-0.004,9.6543E-07
-0.002,9.70805E-07
3.11708E-18,9.75259E-07
0.002,9.78331E-07
0.004,9.8386E-07
0.006,9.8816E-07
0.008,9.91078E-07
0.01,9.9676E-07
0.012,1.00121E-06
0.014,1.00398E-06
0.016,1.00966E-06
0.018,1.01396E-06
0.02,1.01673E-06
0.022,1.02256E-06
0.024,1.02671E-06
0.026,1.02978E-06
0.028,1.03592E-06
0.03,1.04022E-06
0.032,1.0433E-06
0.034,1.04913E-06
0.036,1.05328E-06
0.038,1.05604E-06
0.04,1.06203E-06
0.042,1.06618E-06
0.044,1.0691E-06
0.046,1.07509E-06
0.048,1.07908E-06
0.05,1.08246E-06
0.052,1.08768E-06
0.054,1.09213E-06
0.056,1.09536E-06
0.058,1.10043E-06
0.06,1.10473E-06
0.062,1.10857E-06
0.064,1.11348E-06
0.066,1.11747E-06
0.068,1.12147E-06
0.07,1.12638E-06
0.072,1.12991E-06
0.074,1.13437E-06
0.076,1.13959E-06
0.078,1.14297E-06
0.08,1.14742E-06
0.082,1.15264E-06
0.084,1.15633E-06
0.086,1.16078E-06
0.088,1.16585E-06
0.09,1.16938E-06
0.092,1.17384E-06
0.094,1.17921E-06
0.096,1.18275E-06
0.098,1.18674E-06
0.1,1.19227E-06
0.102,1.19641E-06
0.104,1.20072E-06
0.106,1.20609E-06
0.108,1.21024E-06
0.11,1.21438E-06
0.112,1.22007E-06
0.114,1.22375E-06
0.116,1.22759E-06
0.118,1.23404E-06
0.12,1.23757E-06
0.122,1.24187E-06
0.124,1.24894E-06
0.126,1.2514E-06
0.128,1.2557E-06
0.13,1.26399E-06
0.132,1.26507E-06
0.134,1.27029E-06
