E/V        I/A.1,E/V        I/A.2
-0.15,5.03307E-07
-0.148,5.116E-07
-0.146,5.159E-07
-0.144,5.21736E-07
-0.142,5.26344E-07
-0.14,5.30337E-07
-0.138,5.35558E-07
-0.136,5.39859E-07
-0.134,5.43237E-07
-0.132,5.47998E-07
-0.13,5.52299E-07
-0.128,5.55524E-07
-0.126,5.60285E-07
-0.124,5.64432E-07
-0.122,5.67503E-07
-0.12,5.72264E-07
-0.118,5.76104E-07
-0.116,5.78715E-07
-0.114,5.83783E-07
-0.112,5.87315E-07
-0.11,5.9008E-07
-0.108,5.94687E-07
-0.106,5.98373E-07
-0.104,6.01291E-07
-0.102,6.05745E-07
-0.1,6.09431E-07
-0.098,6.12195E-07
-0.096,6.16495E-07
-0.094,6.20028E-07
-0.092,6.22485E-07
-0.09,6.26785E-07
-0.088,6.30164E-07
-0.086,6.32928E-07
-0.084,6.36922E-07
-0.082,6.40454E-07
-0.08,6.43372E-07
-0.078,6.47365E-07
-0.076,6.50744E-07
-0.074,6.53662E-07
-0.072,6.57501E-07
-0.07,6.60726E-07
-0.068,6.63645E-07
-0.066,6.67638E-07
-0.064,6.70709E-07
-0.062,6.73627E-07
-0.06,6.77313E-07
-0.058,6.80538E-07
-0.056,6.83764E-07
-0.054,6.87142E-07
-0.052,6.90368E-07
-0.05,6.93439E-07
-0.048,6.96971E-07
-0.046,7.00043E-07
-0.044,7.03115E-07
-0.042,7.06493E-07
-0.04,7.09565E-07
-0.038,7.12637E-07
-0.036,7.16015E-07
-0.034,7.19087E-07
-0.032,7.22312E-07
-0.03,7.25691E-07
-0.028,7.28609E-07
-0.026,7.31681E-07
-0.024,7.35213E-07
-0.022,7.37977E-07
-0.02,7.41203E-07
-0.018,7.44735E-07
-0.016,7.47346E-07
-0.014,7.50417E-07
-0.012,7.5395E-07
-0.01,7.56714E-07
-0.008,7.59786E-07
-0.006,7.63318E-07
-0.004,7.66083E-07
-0.002,7.69308E-07
3.11708E-18,7.7284E-07
0.002,7.75297E-07
0.004,7.78369E-07
0.006,7.81748E-07
0.008,7.84359E-07
0.01,7.87584E-07
0.012,7.91116E-07
0.014,7.93881E-07
0.016,7.96645E-07
0.018,8.00177E-07
0.02,8.02788E-07
0.022,8.06014E-07
0.024,8.09699E-07
0.026,8.12003E-07
0.028,8.14921E-07
0.03,8.18761E-07
0.032,8.21218E-07
0.034,8.23982E-07
0.036,8.27976E-07
0.038,8.30433E-07
0.04,8.33504E-07
0.042,8.37498E-07
0.044,8.39648E-07
0.046,8.42873E-07
0.048,8.46866E-07
0.05,8.48862E-07
0.052,8.5178E-07
0.054,8.56081E-07
0.056,8.58077E-07
0.058,8.61149E-07
0.06,8.65449E-07
0.062,8.67292E-07
0.064,8.70364E-07
0.066,8.74818E-07
0.068,8.76507E-07
0.07,8.79579E-07
0.072,8.84493E-07
0.074,8.85875E-07
0.076,8.89254E-07
0.078,8.93708E-07
0.08,8.95551E-07
0.082,8.99083E-07
0.084,9.0323E-07
0.086,9.0538E-07
0.088,9.08759E-07
0.09,9.12598E-07
0.092,9.14902E-07
0.094,9.18434E-07
0.096,9.2212E-07
0.098,9.24885E-07
0.1,9.28417E-07
0.102,9.31489E-07
0.104,9.34714E-07
0.106,9.384E-07
0.108,9.40704E-07
0.11,9.44697E-07
0.112,9.48383E-07
0.114,9.50072E-07
0.116,9.54833E-07
0.118,9.58519E-07
0.12,9.59287E-07
0.122,9.65123E-07
0.124,9.68809E-07
0.126,9.6973E-07
0.128,9.7572E-07
0.13,9.79406E-07
0.132,9.79099E-07
0.134,9.86778E-07
0.136,9.90156E-07
0.138,9.88928E-07
0.14,9.97375E-07
0.142,1.00091E-06
0.144,9.99218E-07
0.146,1.00813E-06
0.148,1.0115E-06
0.15,1.01012E-06
0.152,1.01918E-06
0.154,1.02333E-06
0.156,1.02057E-06
0.158,1.03132E-06
0.16,1.03469E-06
0.162,1.03178E-06
0.164,1.04237E-06
0.166,1.0456E-06
0.168,1.04422E-06
0.17,1.05405E-06
0.172,1.05742E-06
0.174,1.05558E-06
0.176,1.06603E-06
0.178,1.0694E-06
0.18,1.06725E-06
0.182,1.07847E-06
0.184,1.08154E-06
0.186,1.07985E-06
0.188,1.09014E-06
0.19,1.09306E-06
0.192,1.09306E-06
0.194,1.10242E-06
0.196,1.10488E-06
0.198,1.1055E-06
0.2,1.11502E-06
0.202,1.11686E-06
0.204,1.1184E-06
0.206,1.12669E-06
0.208,1.12945E-06
0.21,1.13176E-06
0.212,1.13944E-06
0.214,1.14174E-06
0.216,1.14481E-06
0.218,1.15019E-06
0.22,1.15326E-06
0.222,1.15618E-06
0.224,1.16386E-06
0.226,1.16616E-06
0.228,1.16969E-06
0.23,1.17706E-06
0.232,1.1766E-06
0.234,1.18121E-06
0.236,1.18874E-06
0.238,1.18889E-06
0.24,1.19304E-06
0.242,1.2001E-06
0.244,1.20056E-06
0.246,1.2044E-06
