cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	8.106232e+01
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	1.192093e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	1.192093e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	1.192093e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	1.192093e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	1.192093e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	1.192093e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	1.192093e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	1.668930e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
4.825215e-01	3.585320e-04	0.000000e+00
6.314135e-01	-2.629109e-05	2.560000e-05
5.519562e-01	-1.387736e-04	5.120000e-05
5.876454e-01	-1.465381e-04	7.680000e-05
5.517843e-01	-4.085343e-05	1.024000e-04
5.844613e-01	4.708089e-05	1.280000e-04
5.627688e-01	6.587750e-05	1.536000e-04
5.888546e-01	6.070783e-05	1.792000e-04
5.678138e-01	1.728169e-05	2.048000e-04
5.872726e-01	1.026564e-05	2.304000e-04
5.684487e-01	-4.936189e-06	2.560000e-04
5.855772e-01	1.407938e-05	2.816000e-04
5.710487e-01	1.740085e-05	3.072000e-04
5.864002e-01	2.861543e-05	3.328000e-04
5.746002e-01	2.542180e-05	3.584000e-04
5.871186e-01	2.424088e-05	3.840000e-04
5.772853e-01	2.293613e-05	4.096000e-04
5.878088e-01	2.179802e-05	4.352000e-04
5.797556e-01	2.504068e-05	4.608000e-04
5.889316e-01	2.472392e-05	4.864000e-04
5.822102e-01	2.833429e-05	5.120000e-04
5.906070e-01	2.897507e-05	5.376000e-04
5.846640e-01	2.918313e-05	5.632000e-04
5.924340e-01	3.001957e-05	5.888000e-04
5.871277e-01	3.041641e-05	6.144000e-04
5.942268e-01	3.126061e-05	6.400000e-04
5.896419e-01	3.392236e-05	6.656000e-04
5.965633e-01	3.403061e-05	6.912000e-04
5.924219e-01	3.555559e-05	7.168000e-04
5.988163e-01	3.703904e-05	7.424000e-04
5.951173e-01	3.780168e-05	7.680000e-04
6.012236e-01	3.786738e-05	7.936000e-04
5.979074e-01	3.973573e-05	8.192000e-04
6.038499e-01	4.005410e-05	8.448000e-04
6.007685e-01	4.042203e-05	8.704000e-04
6.064142e-01	4.263121e-05	8.960000e-04
6.039333e-01	4.400616e-05	9.216000e-04
6.092152e-01	4.423941e-05	9.472000e-04
6.069621e-01	4.656977e-05	9.728000e-04
6.123484e-01	4.799636e-05	9.984000e-04
6.102364e-01	4.963901e-05	1.024000e-03
6.154656e-01	5.035102e-05	1.049600e-03
6.136047e-01	5.013340e-05	1.075200e-03
6.185684e-01	5.119379e-05	1.100800e-03
6.169396e-01	5.319600e-05	1.126400e-03
6.218777e-01	5.432670e-05	1.152000e-03
6.205869e-01	5.618349e-05	1.177600e-03
6.252145e-01	5.738374e-05	1.203200e-03
6.241150e-01	5.833245e-05	1.228800e-03
6.286852e-01	5.964027e-05	1.254400e-03
6.277701e-01	6.102706e-05	1.280000e-03
6.323233e-01	6.276453e-05	1.305600e-03
6.315959e-01	6.397719e-05	1.331200e-03
6.360782e-01	6.375635e-05	1.356800e-03
6.352407e-01	6.639196e-05	1.382400e-03
6.397939e-01	6.932850e-05	1.408000e-03
6.394239e-01	7.038405e-05	1.433600e-03
6.437796e-01	7.149222e-05	1.459200e-03
6.435180e-01	7.332960e-05	1.484800e-03
6.478114e-01	7.501287e-05	1.510400e-03
6.476295e-01	7.622648e-05	1.536000e-03
6.518521e-01	7.783626e-05	1.561600e-03
6.517679e-01	7.881381e-05	1.587200e-03
6.558428e-01	8.030014e-05	1.612800e-03
6.558732e-01	8.329183e-05	1.638400e-03
